test	dataset	app	time	mem
Querying lineage	n=20	taxadb	0.22	21848
Querying lineage	n=20	taxadb	0.23	21888
Querying lineage	n=20	taxadb	0.23	21628
Querying lineage	n=20	TaxonKit	2.23	481408
Querying lineage	n=20	TaxonKit	2.23	483724
Querying lineage	n=20	TaxonKit	2.23	487796
Querying lineage	n=20	ETE	0.45	94396
Querying lineage	n=20	ETE	0.43	96748
Querying lineage	n=20	ETE	0.45	82692
Querying lineage	n=2,000	TaxonKit	2.24	437808
Querying lineage	n=2,000	TaxonKit	2.23	487568
Querying lineage	n=2,000	ETE	0.67	96868
Querying lineage	n=2,000	taxadb	7.69	36548
Querying lineage	n=2,000	TaxonKit	2.23	488528
Querying lineage	n=2,000	ETE	0.56	96648
Querying lineage	n=2,000	ETE	0.67	96836
Querying lineage	n=2,000	taxadb	7.80	35916
Querying lineage	n=2,000	taxadb	7.59	35852
Querying lineage	n=200,000	taxadb	798.44	87844
Querying lineage	n=200,000	taxadb	822.01	88584
Querying lineage	n=200,000	TaxonKit	2.79	620608
Querying lineage	n=200,000	TaxonKit	2.75	536500
Querying lineage	n=200,000	TaxonKit	2.94	663308
Querying lineage	n=200,000	ETE	21.98	97008
Querying lineage	n=200,000	ETE	21.87	96860
Querying lineage	n=200,000	ETE	29.35	96564
Querying lineage	n=200,000	taxadb	800.71	87824
