test	dataset	app	time	mem
Querying lineage	taxids.big.txt	ETE	29.14	96660
Querying lineage	taxids.big.txt	ETE	23.98	97092
Querying lineage	taxids.big.txt	ETE	22.15	96856
Querying lineage	taxids.big.txt	TaxonKit	2.94	592712
Querying lineage	taxids.big.txt	TaxonKit	2.96	636352
Querying lineage	taxids.big.txt	TaxonKit	2.84	592712
Querying lineage	taxids.big.txt	taxadb	805.28	88032
Querying lineage	taxids.big.txt	taxadb	808.35	87952
Querying lineage	taxids.big.txt	taxadb	799.00	87880
Querying lineage	taxids.big.txt	taxopy	5.87	1081408
Querying lineage	taxids.big.txt	taxopy	5.71	1081732
Querying lineage	taxids.big.txt	taxopy	5.72	1081508
Querying lineage	taxids.medium.txt	ETE	0.68	96428
Querying lineage	taxids.medium.txt	ETE	0.69	96672
Querying lineage	taxids.medium.txt	ETE	0.68	96872
Querying lineage	taxids.medium.txt	TaxonKit	2.27	479540
Querying lineage	taxids.medium.txt	TaxonKit	2.27	484464
Querying lineage	taxids.medium.txt	TaxonKit	2.27	443432
Querying lineage	taxids.medium.txt	taxadb	7.53	35796
Querying lineage	taxids.medium.txt	taxadb	7.82	35852
Querying lineage	taxids.medium.txt	taxadb	7.80	35764
Querying lineage	taxids.medium.txt	taxopy	3.74	1071480
Querying lineage	taxids.medium.txt	taxopy	3.56	1072816
Querying lineage	taxids.medium.txt	taxopy	3.62	1081380
Querying lineage	taxids.small.txt	ETE	0.45	83068
Querying lineage	taxids.small.txt	ETE	0.34	82976
Querying lineage	taxids.small.txt	ETE	0.45	82928
Querying lineage	taxids.small.txt	TaxonKit	2.24	459024
Querying lineage	taxids.small.txt	TaxonKit	2.27	447136
Querying lineage	taxids.small.txt	TaxonKit	2.38	443684
Querying lineage	taxids.small.txt	taxadb	0.23	21744
Querying lineage	taxids.small.txt	taxadb	0.23	21852
Querying lineage	taxids.small.txt	taxadb	0.23	21872
Querying lineage	taxids.small.txt	taxopy	3.62	1081072
Querying lineage	taxids.small.txt	taxopy	3.62	1078236
Querying lineage	taxids.small.txt	taxopy	3.63	1072744
