test	dataset	app	time	mem
Threads scalability	1	t=1	2.25	445696
Threads scalability	1	t=1	2.26	446580
Threads scalability	1	t=1	2.15	436828
Threads scalability	1	t=2	1.48	431656
Threads scalability	1	t=2	1.60	487492
Threads scalability	1	t=2	1.47	470588
Threads scalability	1	t=4	1.24	451328
Threads scalability	1	t=4	1.25	470812
Threads scalability	1	t=4	1.26	446768
Threads scalability	1	t=8	1.35	461096
Threads scalability	1	t=8	1.25	453552
Threads scalability	1	t=8	1.36	447496
Threads scalability	10	t=1	2.26	441696
Threads scalability	10	t=1	2.27	436756
Threads scalability	10	t=1	2.27	444408
Threads scalability	10	t=2	1.48	487912
Threads scalability	10	t=2	1.60	481612
Threads scalability	10	t=2	1.48	478276
Threads scalability	10	t=4	1.25	450328
Threads scalability	10	t=4	1.26	487592
Threads scalability	10	t=4	1.25	474868
Threads scalability	10	t=8	1.37	460452
Threads scalability	10	t=8	1.36	450604
Threads scalability	10	t=8	1.36	436756
Threads scalability	100	t=1	2.27	482984
Threads scalability	100	t=1	2.39	450916
Threads scalability	100	t=1	2.24	442344
Threads scalability	100	t=2	1.47	445416
Threads scalability	100	t=2	1.49	486064
Threads scalability	100	t=2	1.48	477672
Threads scalability	100	t=4	1.24	437396
Threads scalability	100	t=4	1.26	463188
Threads scalability	100	t=4	1.26	446076
Threads scalability	100	t=8	1.26	455168
Threads scalability	100	t=8	1.36	467896
Threads scalability	100	t=8	1.26	428064
Threads scalability	1000	t=1	2.27	481768
Threads scalability	1000	t=1	2.38	445824
Threads scalability	1000	t=1	2.26	477100
Threads scalability	1000	t=2	1.48	481912
Threads scalability	1000	t=2	1.49	491200
Threads scalability	1000	t=2	1.49	494304
Threads scalability	1000	t=4	1.26	471196
Threads scalability	1000	t=4	1.25	469084
Threads scalability	1000	t=4	1.25	440700
Threads scalability	1000	t=8	1.37	466776
Threads scalability	1000	t=8	1.37	449584
Threads scalability	1000	t=8	1.36	458144
Threads scalability	2000	t=1	2.16	436356
Threads scalability	2000	t=1	2.39	443096
Threads scalability	2000	t=1	2.26	443624
Threads scalability	2000	t=2	1.48	487496
Threads scalability	2000	t=2	1.60	447152
Threads scalability	2000	t=2	1.48	435556
Threads scalability	2000	t=4	1.14	451748
Threads scalability	2000	t=4	1.38	468616
Threads scalability	2000	t=4	1.24	447984
Threads scalability	2000	t=8	1.35	440684
Threads scalability	2000	t=8	1.35	454052
Threads scalability	2000	t=8	1.37	430108
Threads scalability	4000	t=1	2.24	453712
Threads scalability	4000	t=1	2.26	475744
Threads scalability	4000	t=1	2.26	439472
Threads scalability	4000	t=2	1.48	436444
Threads scalability	4000	t=2	1.58	467564
Threads scalability	4000	t=2	1.48	436816
Threads scalability	4000	t=4	1.25	439120
Threads scalability	4000	t=4	1.35	443700
Threads scalability	4000	t=4	1.25	443204
Threads scalability	4000	t=8	1.36	454316
Threads scalability	4000	t=8	1.39	449864
Threads scalability	4000	t=8	1.37	446400
Threads scalability	6000	t=1	2.37	446996
Threads scalability	6000	t=1	2.28	482248
Threads scalability	6000	t=1	2.27	480424
Threads scalability	6000	t=2	1.48	484448
Threads scalability	6000	t=2	1.60	438624
Threads scalability	6000	t=2	1.46	477804
Threads scalability	6000	t=4	1.25	459000
Threads scalability	6000	t=4	1.25	441312
Threads scalability	6000	t=4	1.24	442268
Threads scalability	6000	t=8	1.38	436452
Threads scalability	6000	t=8	1.36	430428
Threads scalability	6000	t=8	1.38	466740
Threads scalability	8000	t=1	2.24	477996
Threads scalability	8000	t=1	2.17	465552
Threads scalability	8000	t=1	2.33	440824
Threads scalability	8000	t=2	1.36	483668
Threads scalability	8000	t=2	1.57	483932
Threads scalability	8000	t=2	1.60	485188
Threads scalability	8000	t=4	1.23	467552
Threads scalability	8000	t=4	1.26	483448
Threads scalability	8000	t=4	1.25	455196
Threads scalability	8000	t=8	1.25	435052
Threads scalability	8000	t=8	1.38	446332
Threads scalability	8000	t=8	1.37	426328
Threads scalability	10000	t=1	2.16	436228
Threads scalability	10000	t=1	2.28	482084
Threads scalability	10000	t=1	2.25	479764
Threads scalability	10000	t=2	1.49	442964
Threads scalability	10000	t=2	1.48	480232
Threads scalability	10000	t=2	1.49	436056
Threads scalability	10000	t=4	1.26	462968
Threads scalability	10000	t=4	1.25	444340
Threads scalability	10000	t=4	1.26	445496
Threads scalability	10000	t=8	1.26	468452
Threads scalability	10000	t=8	1.25	465580
Threads scalability	10000	t=8	1.36	449156
Threads scalability	20000	t=1	2.25	483692
Threads scalability	20000	t=1	2.27	440116
Threads scalability	20000	t=1	2.26	477460
Threads scalability	20000	t=2	1.59	494232
Threads scalability	20000	t=2	1.47	471012
Threads scalability	20000	t=2	1.48	486636
Threads scalability	20000	t=4	1.26	477348
Threads scalability	20000	t=4	1.35	487176
Threads scalability	20000	t=4	1.26	485252
Threads scalability	20000	t=8	1.25	428968
Threads scalability	20000	t=8	1.37	431244
Threads scalability	20000	t=8	1.36	425056
Threads scalability	40000	t=1	2.38	473180
Threads scalability	40000	t=1	2.50	476604
Threads scalability	40000	t=1	2.37	486324
Threads scalability	40000	t=2	1.60	452688
Threads scalability	40000	t=2	1.49	458864
Threads scalability	40000	t=2	1.58	457500
Threads scalability	40000	t=4	1.35	467568
Threads scalability	40000	t=4	1.25	436340
Threads scalability	40000	t=4	1.37	436980
Threads scalability	40000	t=8	1.36	465864
Threads scalability	40000	t=8	1.37	500340
Threads scalability	40000	t=8	1.47	424492
Threads scalability	60000	t=1	2.51	465428
Threads scalability	60000	t=1	2.36	464164
Threads scalability	60000	t=1	2.50	489636
Threads scalability	60000	t=2	1.59	448980
Threads scalability	60000	t=2	1.60	490164
Threads scalability	60000	t=2	1.71	491872
Threads scalability	60000	t=4	1.25	451192
Threads scalability	60000	t=4	1.37	470492
Threads scalability	60000	t=4	1.37	469864
Threads scalability	60000	t=8	1.47	462764
Threads scalability	60000	t=8	1.48	463348
Threads scalability	60000	t=8	1.38	452400
Threads scalability	80000	t=1	2.48	491092
Threads scalability	80000	t=1	2.38	486612
Threads scalability	80000	t=1	2.49	497884
Threads scalability	80000	t=2	1.71	519424
Threads scalability	80000	t=2	1.71	445348
Threads scalability	80000	t=2	1.72	445764
Threads scalability	80000	t=4	1.37	470192
Threads scalability	80000	t=4	1.36	486120
Threads scalability	80000	t=4	1.35	462164
Threads scalability	80000	t=8	1.48	476124
Threads scalability	80000	t=8	1.35	455556
Threads scalability	80000	t=8	1.49	475864
Threads scalability	100000	t=1	2.61	507040
Threads scalability	100000	t=1	2.58	510716
Threads scalability	100000	t=1	2.57	499036
Threads scalability	100000	t=2	1.60	445944
Threads scalability	100000	t=2	1.81	525124
Threads scalability	100000	t=2	1.82	519788
Threads scalability	100000	t=4	1.37	541600
Threads scalability	100000	t=4	1.37	475340
Threads scalability	100000	t=4	1.47	435288
Threads scalability	100000	t=8	1.37	469516
Threads scalability	100000	t=8	1.38	468672
Threads scalability	100000	t=8	1.36	475116
