test	dataset	app	time	mem
Querying lineage	n=13	taxadb	0.23	7660
Querying lineage	n=13	taxadb	0.22	7664
Querying lineage	n=13	taxadb	0.21	18068
Querying lineage	n=13	TaxonKit	4.68	955972
Querying lineage	n=13	TaxonKit	4.33	931284
Querying lineage	n=13	TaxonKit	4.42	941660
Querying lineage	n=13	ETE	0.22	48532
Querying lineage	n=13	ETE	0.22	47780
Querying lineage	n=13	ETE	0.21	47760
Querying lineage	n=2125	TaxonKit	4.58	970336
Querying lineage	n=2125	TaxonKit	4.59	934736
Querying lineage	n=2125	ETE	0.44	62140
Querying lineage	n=2125	taxadb	10.55	32816
Querying lineage	n=2125	TaxonKit	4.35	929604
Querying lineage	n=2125	ETE	0.45	62324
Querying lineage	n=2125	ETE	0.45	62568
Querying lineage	n=2125	taxadb	10.36	33200
Querying lineage	n=2125	taxadb	10.31	32992
Querying lineage	n=211549	taxadb	1071.04	84280
Querying lineage	n=211549	taxadb	1018.70	84320
Querying lineage	n=211549	TaxonKit	5.26	1083360
Querying lineage	n=211549	TaxonKit	4.99	1232024
Querying lineage	n=211549	TaxonKit	5.06	1137252
Querying lineage	n=211549	ETE	23.87	62336
Querying lineage	n=211549	ETE	24.56	62196
Querying lineage	n=211549	ETE	24.02	62316
Querying lineage	n=211549	taxadb	1048.94	84264
